"FAWN Station","Period","2m T avg (F)","2m T min (F)","2m T max (F)","Tsoil avg-10cm  (F)","Tsoil min(avg)-10cm  (F)","Tsoil max(avg)-10cm  (F)","2m DewPt avg (F)","RelHum avg 2m  (pct)","2m Rain tot (in)","2m Rain max over 15min (in)","SolRad avg2m  (w/m^2)","10m Wind avg (mph)","10m Wind min (mph)","10m Wind max (mph)","WDir avg10m  (deg)","BP avg (mb)","N (# obs)","2m WetBulb (F)"
"Apopka","11 Jan 2022","57.51","48.58","69.28","68.5","65.91","70.63","47.6","71","0","0","167.87","8.22","0.25","22.12","25","1023","96","52.08"
"Apopka","12 Jan 2022","60.42","50.88","72.21","67.49","64.87","70.21","51.43","75","0","0","150.64","5.81","0.76","17.76","49","1019","96","55.24"
"Apopka","13 Jan 2022","60.15","51.44","70.23","68.22","65.64","71.13","52.41","77","0.03","0.03","174.85","6.15","0.02","24.43","305","1012","96","55.65"
"Apopka","14 Jan 2022","56.07","48.67","65.93","66.72","64.31","69.19","43.18","65","0","0","184.65","5.77","0","17.6","303","1011","96","49.38"
"Apopka","15 Jan 2022","56.88","40.92","72.5","65.19","61.72","68.54","46.17","71","0","0","175.92","3.24","0","15.64","168","1013","96","51.11"
"Apopka","16 Jan 2022","62.23","57.76","66.7","65.82","64.13","66.78","54.57","76","0.54","0.3","70.24","12.94","1.25","38.23","230","1005","96","57.65"
"Apopka","17 Jan 2022","53.48","46.96","58.89","63.05","61.12","65.01","45.05","74","0","0","171.31","11.17","0.92","28.97","292","1011","96","49.05"
"Apopka","18 Jan 2022","46.39","36.27","57.63","61.11","57.92","64.2","38.45","75","0","0","191.74","4.53","0.05","16.33","336","1019","96","42.66"
"Apopka","19 Jan 2022","56.36","40.16","71.8","61.09","57.38","65.03","48.34","76","0","0","145.46","4.14","0.34","17.16","86","1019","96","51.94"
"Apopka","20 Jan 2022","62.34","49.19","76.41","63.78","59.97","68.04","54.31","78","0","0","185.61","3.45","0.02","12.08","214","1016","96","57.55"
"Apopka","21 Jan 2022","61.37","52.93","71.33","65.62","62.83","68.65","57.21","87","0","0","115.27","4.62","0.02","19.35","23","1015","96","58.82"
"Apopka","22 Jan 2022","49.16","43.28","54.05","63.73","61.14","66.67","48.39","97","0.01","0.01","22.4","7.42","0.6","21.85","11","1018","96","48.74"
"Apopka","23 Jan 2022","43.31","38.29","49.62","59.94","58.21","61.09","40.17","89","0","0","93.69","6.24","0.63","16.35","323","1016","96","41.82"
"Apopka","24 Jan 2022","46.99","33.39","58.8","58.06","54.14","61.97","34.37","67","0","0","191.17","3.82","0","13.78","292","1013","96","41.34"
"Apopka","25 Jan 2022","49.34","47.17","52.57","58.88","58.3","59.76","44.25","83","0.22","0.03","32.22","3.26","0.07","12.19","63","1014","96","46.74"
"Apopka","26 Jan 2022","54.62","48.81","59.36","58.78","57.69","60.13","53.73","97","0.4","0.17","34.83","7.09","0.58","18.72","37","1015","96","54.11"
"Apopka","27 Jan 2022","59.51","54.82","65.19","60.94","59.63","62.69","56.53","90","0","0","71.06","8.71","0.05","23.85","20","1017","96","57.71"
"Apopka","28 Jan 2022","56.78","51.31","67.01","61.91","59.97","64.53","52.34","86","0.02","0.01","117.95","7.19","0.56","22.53","308","1012","96","54.22"
"Apopka","29 Jan 2022","43.23","35.46","53.74","59.09","56.57","61.75","24.3","48","0","0","210.2","11.83","0.16","32.7","316","1017","96","35.99"
"Apopka","30 Jan 2022","42.41","29.67","54.19","55.97","51.96","59.97","20.42","43","0","0","209.94","4.39","0.16","13.09","311","1022","96","34.48"
"Apopka","31 Jan 2022","50.64","33.86","67.35","57.43","52.95","62.51","38.72","66","0","0","204.81","3.12","0.02","11.9","211","1020","96","44.9"
"Apopka","1 Feb 2022","55.77","39.21","70.63","59.28","55.31","63.27","44.17","69","0","0","179.05","4.74","0.09","20.2","85","1020","96","49.69"
"Apopka","2 Feb 2022","63.8","49.21","78.04","61.72","57.81","66.11","52.24","70","0","0","190.46","6.91","0.69","25.93","107","1018","96","57.02"
"Apopka","3 Feb 2022","70.32","61.39","81.18","65.39","61.93","69.48","60","72","0","0","187.96","7.43","0.13","23.38","133","1017","96","63.72"
"Apopka","4 Feb 2022","71.65","62.78","82.69","68.32","64.98","72.39","64.71","80","0","0","179.16","5.24","0.27","20.56","193","1017","96","67.02"
"Apopka","5 Feb 2022","57.97","49.89","69.12","67","63.73","69.75","54.95","90","0.05","0.02","41.05","6.93","0.13","19.77","13","1019","96","56.18"
"Apopka","6 Feb 2022","56.03","50.74","63.01","63.56","62.2","65.23","55.02","97","0.04","0.01","65.03","5.5","0.22","14.99","359","1018","96","55.43"
"Apopka","7 Feb 2022","52.77","49.08","60.01","62.84","61.57","64.6","51.06","94","0","0","100.12","5.2","0.22","16.73","322","1017","96","51.81"
"Apopka","8 Feb 2022","50.04","47.35","52.39","60.77","59.22","62.4","48.92","96","0.43","0.03","20.59","5.09","0.45","11.97","17","1016","96","49.44"
"Apopka","9 Feb 2022","53.2","43.57","64.74","60.56","57.9","64.31","44.41","76","0.01","0.01","219.15","5.37","0.25","16.13","352","1015","96","48.62"
"Apopka","10 Feb 2022","53.91","40.14","69.04","60.38","55.89","65.39","42.87","71","0","0","225.06","3.78","0.02","16.96","40","1016","96","48.25"
"Apopka","11 Feb 2022","60.86","47.97","76.28","62.54","58.44","67.3","50.63","71","0","0","177.86","4.31","0.02","14.88","72","1015","96","55.01"
"Apopka","12 Feb 2022","65.25","51.55","80.89","65.62","61.3","70.5","54.04","72","0","0","199.2","2.7","0.02","8.88","5","1015","96","58.53"
"Apopka","13 Feb 2022","63.42","54.52","72.09","66.92","65.26","69.12","58.28","84","0.14","0.03","126.98","6.14","0.05","26.46","282","1014","96","60.23"
"Apopka","14 Feb 2022","50.64","40.58","62.15","62.94","58.95","66.72","27.6","43","0","0","225.38","6.61","0.09","19.91","5","1023","96","41"
"Apopka","15 Feb 2022","56.03","39.03","69.93","61.66","58.17","65.17","46.18","71","0","0","141.49","6.81","1.05","25.3","58","1026","96","50.74"
"Apopka","16 Feb 2022","65.6","53.28","78.39","64.69","60.91","69.04","57.19","77","0","0","194.97","7.4","0.72","24.65","93","1025","96","60.4"
"Apopka","17 Feb 2022","72.52","61.7","84.85","68.16","64.94","72.27","65.39","81","0","0","169.24","6.44","0.31","20.65","130","1019","96","67.72"
"Apopka","18 Feb 2022","73.48","68.9","81.75","71.3","68.85","74.71","68.2","84","0","0","145.56","5.22","0.47","15.66","237","1016","96","69.84"
"Apopka","19 Feb 2022","66.36","50.43","73.22","71.77","70.18","74.52","55.33","71","0","0","154.01","6.09","0.34","18.36","342","1018","96","59.65"
"Apopka","20 Feb 2022","61.61","47.07","76.12","69.28","65.05","73.74","48.99","65","0","0","235.37","7.35","1.3","21.7","69","1022","96","54.5"
"Apopka","21 Feb 2022","67.42","56.5","79.32","70.29","66.79","74.1","57.01","72","0","0","189.07","5.8","0.58","19.57","99","1021","96","60.98"
"Apopka","22 Feb 2022","70.87","60.08","82.83","71.88","68.05","76.32","61.5","75","0","0","215.76","6.36","0.36","17.34","115","1021","96","64.79"
"Apopka","23 Feb 2022","72.68","64.2","84.15","74.03","70.36","78.57","65.74","81","0","0","215.22","4.37","0.09","13.73","144","1020","96","68"
"Apopka","24 Feb 2022","71.52","60.87","83.82","74.92","71.02","78.84","63.63","79","0","0","217.02","3.85","0.05","13.62","126","1020","96","66.3"
"Apopka","25 Feb 2022","73.23","62.44","84.76","75.45","71.98","79.39","64.94","78","0","0","202.16","3.09","0.05","16.8","176","1021","96","67.67"
"Apopka","26 Feb 2022","72.08","60.91","84.58","76.21","72.23","80.64","64.12","78","0","0","236.78","4.24","0","15.99","148","1021","96","66.78"
"Apopka","27 Feb 2022","71.26","58.73","82.89","76.76","72.81","81.09","62.28","76","0","0","238.24","3.89","0","14.88","267","1017","96","65.38"
"Apopka","28 Feb 2022","64.19","57.63","72.27","75.2","73.35","77.9","60.39","88","0.05","0.03","106.1","4.63","0.02","21.21","340","1014","96","61.78"
"Apopka","1 Mar 2022","62.33","57.09","73.02","72.65","70.43","75.65","53.88","76","0","0","194.74","5.99","0.29","21.07","26","1015","96","57.31"
"Apopka","2 Mar 2022","63.23","49.21","76.33","72.08","67.69","76.84","50.94","67","0","0","254.68","4.91","0.07","14.54","17","1017","96","56.13"
"Apopka","3 Mar 2022","66.75","52.72","81.54","73.43","69.06","78.42","53.11","66","0","0","247.95","3.04","0.05","12.39","44","1018","96","58.62"
"Apopka","4 Mar 2022","69.72","56.1","83.59","74.69","70.7","78.93","50.81","56","0","0","252.54","5.01","0.02","18.77","77","1021","96","58.61"
"Apopka","5 Mar 2022","69.31","55.89","83.25","74.62","71.24","78.1","58.77","73","0","0","221.95","6.67","0.36","23.85","95","1023","96","62.65"
"Apopka","6 Mar 2022","72.38","60.55","85.75","75.42","71.73","79.66","60.35","70","0","0","256.43","7.31","0.72","24.67","105","1022","96","64.62"
"Apopka","7 Mar 2022","74.66","65.53","86.97","76.9","73.6","80.83","66.33","78","0.71","0.25","214.58","6.31","0.31","20.92","148","1017","96","69"
"Apopka","8 Mar 2022","74.65","69.73","86.76","77.41","74.84","80.58","70.22","88","0.14","0.14","173.29","4.06","0.07","18.63","174","1014","96","71.55"
"Apopka","9 Mar 2022","74.34","68.63","84.74","76.85","74.71","79.75","70.24","88","0.12","0.06","151.92","5.5","0.13","17.31","171","1012","96","71.47"
"Apopka","10 Mar 2022","69.09","64.18","79.74","74.48","72.82","76.66","66.84","93","1.66","0.41","102.04","4.84","0.02","20.85","90","1013","96","67.56"
"Apopka","11 Mar 2022","73.86","65.48","84.78","74.11","71.46","77.11","68.96","86","0","0","129.31","4.63","0.05","16.28","153","1011","96","70.47"
"Apopka","12 Mar 2022","64.47","42.96","75.51","71.94","66.43","74.82","54.02","72","0.58","0.31","84.46","11.63","0.47","38.47","262","1010","96","58.22"
"Apopka","13 Mar 2022","49.33","35.1","62.98","66.02","60.85","71.53","36.48","62","0","0","277.29","7.81","0.36","21.72","19","1024","93","43.35"
"Apopka","14 Mar 2022","61.95","47.97","74.88","68.32","64.18","73.11","52.54","74","0","0","218.78","7.99","0.83","24.09","65","1023","95","56.45"
"Apopka","15 Mar 2022","69.99","63.88","78.87","71.31","68.67","74.7","62.98","79","0.08","0.04","138.64","8.07","0.09","27.22","94","1018","96","65.39"
"Apopka","16 Mar 2022","69.39","62.89","81.19","72.74","69.98","76.44","66.63","92","0.95","0.3","161.63","4.2","0","30.74","224","1013","96","67.53"
"Apopka","17 Mar 2022","69.4","62.76","79.29","73.9","69.76","79.43","61.56","79","0","0","280.98","4.59","0.07","12.39","268","1013","96","64.32"
"Apopka","18 Mar 2022","73.24","56.5","89.06","75.29","70.05","81.12","62.88","74","0","0","247.36","4.73","0.02","20.76","127","1014","96","66.41"
"Apopka","19 Mar 2022","75.02","65.35","86.77","78.29","73.8","83.66","66.97","77","0","0","254.35","6.52","0.05","23.6","195","1015","96","69.52"
"Apopka","20 Mar 2022","69.44","57.83","76.78","79.16","75.7","83.39","55.93","66","0","0","259.45","6.75","0.25","24.43","332","1018","96","61.12"
"Apopka","21 Mar 2022","64.79","49.96","78.33","76.41","71.73","81","51.84","65","0","0","283.51","6.71","0.69","22.03","72","1019","96","57.21"
"Apopka","22 Mar 2022","70","57.83","82.8","76.78","72.39","81.64","58.64","70","0","0","266.88","6.54","0.29","21.94","108","1016","96","62.82"
"Apopka","23 Mar 2022","75.15","68.86","84.49","77.79","75.49","80.24","68.25","80","0.04","0.02","151.77","6.97","0.22","29.26","145","1012","96","70.38"
"Apopka","24 Mar 2022","70.64","62.28","74.46","76.01","74.1","77.83","68.36","93","0.39","0.14","47.15","5.11","0.13","18.68","234","1010","96","69.07"
"Apopka","25 Mar 2022","66.25","60.37","74.44","74.15","70.61","78.64","53.45","66","0","0","286.75","8.7","0.09","24.07","293","1012","96","58.61"
"Apopka","26 Mar 2022","65.79","56.07","76.26","74.68","70.21","79.93","49.78","59","0","0","295.81","9.17","0.4","25.81","289","1013","96","56.59"
"Apopka","27 Mar 2022","66.82","56.59","77.52","75.47","71.06","80.62","47.49","55","0","0","295.4","7.83","0.87","21.32","291","1015","96","55.92"
"Apopka","28 Mar 2022","70.23","62.51","81.59","77.14","72.72","82.76","58.89","70","0","0","287.73","6.94","0.38","19.26","271","1017","96","63.04"
"Apopka","29 Mar 2022","70.2","61.9","82.09","78.54","73.96","83.84","60.62","75","0","0","292.2","5.38","0.16","14.25","264","1018","96","64.03"
"Apopka","30 Mar 2022","73.75","62.76","85.08","79.15","75.2","83.52","62.45","71","0","0","280.95","8.27","0.74","25.03","136","1015","96","66.31"
"Apopka","31 Mar 2022","74.55","67.03","84.45","78.93","77.02","80.73","66.74","78","0.1","0.04","115.33","8.71","0.2","25.25","178","1010","96","69.23"
"Apopka","1 Apr 2022","73.2","67.32","80.31","76.35","73.47","79.56","67.92","85","2.69","0.36","163.36","3.89","0.02","17.11","278","1012","96","69.57"
"Apopka","2 Apr 2022","68.89","61.65","78.44","75.16","71.65","78.15","67.4","95","2.25","0.81","71.34","4.17","0.05","36.37","161","1012","96","67.88"
"Apopka","3 Apr 2022","68.2","61.3","78.3","74.18","70.2","80.31","61.27","81","0","0","265.98","4.58","0.02","14.65","335","1011","96","63.73"
"Apopka","4 Apr 2022","69.95","56.41","82.45","76.31","71.35","82.09","59.77","73","0","0","280.29","5.05","0.05","17.09","112","1012","96","63.45"
"Apopka","5 Apr 2022","76.4","65.75","87.8","78.87","74.93","83.91","68.62","79","0.01","0.01","243.95","6.29","0.45","25.39","175","1010","96","71"
"Apopka","6 Apr 2022","79.08","72.3","87.82","80.38","76.96","84.78","72.17","80","0","0","220.91","5.77","0.18","18.99","215","1009","96","74.15"
"Apopka","7 Apr 2022","74.02","66.69","79.7","79","76.64","82.24","70.8","90","0.71","0.3","68.54","8.38","0.51","39.79","217","1007","96","71.75"
"Apopka","8 Apr 2022","66.12","60.3","71.19","75.35","71.47","79.56","49.03","56","0","0","315.71","11.91","1.61","28.32","284","1011","96","56.36"
"Apopka","9 Apr 2022","61.76","53.89","67.73","75.22","71.64","79.16","43.41","52","0","0","298.78","10.12","0.38","35.39","290","1014","96","52.02"
"Apopka","10 Apr 2022","60.05","43.61","72.86","74.5","69.21","80.53","41.72","56","0","0","324.38","4.26","0.02","16.84","4","1018","96","50.56"
"Apopka","11 Apr 2022","66.5","51.06","80.46","75.91","70.83","81.59","51.52","61","0","0","316.2","5.83","0.16","23.11","114","1018","96","57.72"
"Apopka","12 Apr 2022","71.75","60.98","83.35","78.29","73.76","83.82","59.38","67","0","0","309.07","6.41","0.2","17.36","127","1018","96","63.85"
"Apopka","13 Apr 2022","73.37","63.23","83.55","79.3","75.85","82.9","62.58","71","0","0","227.24","6.49","0.34","21.68","125","1016","96","66.27"
"Apopka","14 Apr 2022","74.7","66.24","83.95","79.71","77.05","82.96","67.59","80","0.69","0.59","186.91","4.05","0.07","29.53","174","1014","96","69.82"
"Apopka","15 Apr 2022","73.4","68.02","84.6","79.06","76.6","81.7","69.62","89","0.01","0.01","198.81","5.01","0.05","25.28","73","1014","96","70.76"
"Apopka","16 Apr 2022","74.84","63.95","86.45","80.11","75.36","86.29","67.11","79","0","0","312.11","4.78","0.13","18.99","134","1014","96","69.55"
"Apopka","17 Apr 2022","76.06","65.28","86.61","82.26","78.58","87.22","68.39","79","1.45","0.93","248.63","4.19","0","31.83","182","1012","96","70.75"
"Apopka","18 Apr 2022","75.62","68.11","83.62","79.87","77.23","83.16","68.27","80","0","0","210.73","5.63","0.16","17.98","247","1011","96","70.54"
"Apopka","19 Apr 2022","69.29","59.45","77.59","80.42","76.35","85.55","55.54","65","0","0","325.86","7.1","0.16","22.41","21","1015","96","60.85"
"Apopka","20 Apr 2022","66.85","55.29","77.58","78.93","75.07","82.58","53.85","64","0.01","0.01","266.44","8.06","1.03","26.17","69","1021","96","59.05"
"Apopka","21 Apr 2022","70.47","60.98","79","79.12","75.96","82.85","58.03","65","0","0","228.22","7.57","0.47","25.52","66","1022","96","62.64"
"Apopka","22 Apr 2022","70.07","60.44","79.38","79.29","75.9","83.21","59.29","70","0","0","246.11","7.7","1.3","28.45","56","1022","96","63.22"
"Apopka","23 Apr 2022","71.23","60.57","80.82","79.82","76.5","83.52","61.03","72","0","0","261.57","7.47","0.25","22.08","71","1019","96","64.63"
"Apopka","24 Apr 2022","73.13","63.14","82.67","80.6","77.11","84.6","63.97","75","0","0","259.19","6.62","0.38","22.75","85","1017","96","67.03"
"Apopka","25 Apr 2022","74.62","65.1","86.27","81.5","78.03","85.41","64","72","0","0","250.32","5.39","0.05","18.7","97","1017","96","67.53"
"Apopka","26 Apr 2022","74.43","62.44","86.61","82.57","78.04","88.2","62.85","71","0","0","331.59","4.11","0.02","14.72","141","1017","96","66.78"
"Apopka","27 Apr 2022","76.08","67.17","86.32","84.39","80.35","89.1","65.54","72","0","0","311.5","4.9","0.09","18.45","225","1014","96","68.94"
"Apopka","28 Apr 2022","73.57","67.26","82.17","84.37","81.68","87.03","64.47","75","0","0","270.59","9.49","0.43","25.46","55","1014","96","67.48"
"Apopka","29 Apr 2022","71.99","61.9","80.6","82.63","79.47","85.95","61.59","71","0","0","266.17","7.68","0.67","23.58","85","1015","96","65.22"
"Apopka","30 Apr 2022","74.38","66.45","83.88","83.09","80.02","86.83","63.51","70","0","0","245.85","6.5","0.07","19.37","98","1014","96","67.16"
"Apopka","1 May 2022","73.69","63.77","85.39","83.11","80.26","86.29","65.96","79","0.07","0.04","210.97","3.98","0.05","18.83","94","1015","96","68.46"
"Apopka","2 May 2022","74.33","64.26","86.81","81.97","78.3","86.94","67.43","81","0.26","0.14","303.37","5.03","0.02","21.38","109","1016","96","69.6"
"Apopka","3 May 2022","76.62","70.18","86.2","81.85","79.07","85.26","67.92","77","0","0","199.48","3.82","0.05","15.35","117","1015","96","70.61"
"Apopka","4 May 2022","77.2","65.61","88.86","83.35","78.64","89.51","66.55","72","0","0","310.42","4.05","0.02","13.98","132","1014","96","69.92"
"Apopka","5 May 2022","79.73","68.65","91.99","85.97","81.3","91.96","68.17","71","0.29","0.14","324.46","3.52","0.02","12.84","217","1013","96","71.7"
"Apopka","6 May 2022","80.32","72.23","89.56","85.99","82.27","89.96","69.46","72","0","0","296.07","6.85","0.02","26.71","234","1010","96","72.7"
"Apopka","7 May 2022","79.96","69.91","86.43","85.4","82.22","88.92","68.19","69","0.21","0.2","318.19","11.08","0.87","28.32","260","1006","96","71.78"
"Apopka","8 May 2022","77.92","71.55","88.39","85.82","81.45","91.53","64.71","66","0","0","338.83","7.43","0.51","20.4","286","1007","96","69.01"
"Apopka","9 May 2022","71.91","62.58","80.13","85.94","82.45","89.58","62.05","72","0","0","276.44","8.12","1.41","20.24","47","1013","96","65.47"
"Apopka","10 May 2022","69.36","59.16","81.27","84.45","80.06","89.58","55.73","65","0","0","333.19","7.57","0.16","24.4","34","1016","96","60.98"
"Apopka","11 May 2022","70.29","60.04","82.13","84.12","79.95","88.86","57.57","66","0","0","323.62","7.87","0.18","25.99","15","1014","96","62.32"
"Apopka","12 May 2022","70.46","62.35","80.89","83.65","80.37","86.61","61.3","75","0","0","254.48","6.53","0.16","22.59","26","1012","96","64.53"
"Apopka","13 May 2022","71.41","61.25","84.31","84.07","79.65","89.83","62.77","77","0.32","0.23","322.13","3.93","0.02","20.33","332","1011","96","65.74"
"Apopka","14 May 2022","74.83","64.49","87.39","84.24","79.83","89.47","65.81","77","0.01","0.01","328.13","4.48","0","16.91","113","1011","96","68.72"
"Apopka","15 May 2022","74.13","67.93","85.89","84.56","81.84","88.57","69.44","86","0.58","0.31","223.41","4.79","0.13","25.97","53","1011","96","70.87"
"Apopka","16 May 2022","75.81","65.03","86.68","82.97","78.64","88.48","66.95","77","0","0","328.67","5.06","0.02","16.04","268","1010","96","69.75"
"Apopka","17 May 2022","79.03","70.47","89.44","85.8","81.48","91.38","70.37","77","0","0","300.75","4.45","0.02","19.26","270","1012","96","72.92"
"Apopka","18 May 2022","80","71.82","90.99","87.64","83.88","91.98","71.34","77","0","0","285.77","4.7","0.05","21.16","277","1013","96","73.84"
"Apopka","19 May 2022","80.37","70.88","88.99","88.06","84.29","92.41","70.82","75","0","0","275.35","3.61","0.05","12.5","220","1012","96","73.6"
"Apopka","20 May 2022","76.25","70.03","85.93","86.38","82.98","89.85","71.38","86","1.26","0.49","137.42","4.59","0.09","25.86","165","1014","96","72.8"
"Apopka","21 May 2022","77.67","68.97","90.86","83.13","80.37","87.4","71.34","83","1.36","0.47","221.95","6.17","0.07","33.89","128","1018","96","73.18"
"Apopka","22 May 2022","80.48","69.1","91.31","82.92","79.65","87.33","72.4","79","0","0","249.6","6.11","0.05","17.78","123","1019","96","74.69"
"Apopka","23 May 2022","82.09","74.1","90.99","86.04","81.95","91.54","70.58","71","0","0","312.96","5.83","0.05","16.04","145","1016","96","73.92"
"Apopka","24 May 2022","81.16","73.74","90.59","87.6","84.4","91.31","69.8","70","0","0","260.39","6.16","0.07","21.45","131","1014","96","73.16"
"Apopka","25 May 2022","79.77","71.19","89.73","86.95","83.93","90.01","69.69","73","0","0","250.21","6.62","0.31","20.4","122","1015","96","72.69"
"Apopka","26 May 2022","81.32","72.37","90.82","87.79","84.36","92.34","70.02","71","0.39","0.25","294.16","6.36","0.02","20.78","146","1015","96","73.35"
"Apopka","27 May 2022","77.14","71.1","88.09","85.63","83.91","89.74","71.89","85","0.9","0.16","196.02","4.43","0.02","20.6","181","1012","96","73.41"
"Apopka","28 May 2022","79.61","72.88","88.93","85.08","81.37","90.48","68.66","72","0","0","278.82","3.61","0","10.13","241","1010","96","71.98"
"Apopka","29 May 2022","79.81","68.9","91.18","87.35","82.72","93.42","68.01","70","0","0","347.8","4.9","0.05","19.89","312","1012","96","71.62"
"Apopka","30 May 2022","79.16","68.22","89.85","88.38","84.61","92.73","67.5","70","0","0","306.8","5.09","0","18.34","119","1014","96","71.11"
"Apopka","31 May 2022","78.57","71.47","87.22","87.95","85.26","90.36","69","74","0","0","235.42","5.37","0.02","22.17","75","1014","96","71.89"
"Apopka","1 Jun 2022","76.88","68.11","86.18","86.8","84.02","89.55","68.88","78","0.02","0.01","275.97","6.71","0.34","24.07","66","1012","96","71.32"
"Apopka","2 Jun 2022","79.21","68.72","89.82","87.01","83.5","91.29","68.7","73","0","0","304.54","5.2","0.07","17.16","91","1009","96","71.88"
"Apopka","3 Jun 2022","77.2","71.35","85.32","87.24","85.1","89.19","70.74","81","0","0","177.44","4.54","0.02","15.84","154","1008","96","72.64"
"Apopka","4 Jun 2022","76.07","72.37","82.17","86.08","84.25","88.32","71.27","85","0.02","0.01","210.21","7.39","0.36","25.17","79","1004","96","72.68"
"Apopka","5 Jun 2022","77.41","69.78","90.05","87.01","83.21","92.3","71.93","84","0","0","306.95","4.88","0.05","21.65","339","1005","96","73.51"
"Apopka","6 Jun 2022","77.76","71.73","89.73","87.84","85.51","90.81","72.56","85","0.08","0.03","236.29","4.57","0.07","22.28","69","1009","96","74.04"
"Apopka","7 Jun 2022","79.73","69.15","92.32","86.97","82.89","92.8","71.26","78","0","0","344.83","4.85","0.05","20.42","148","1011","96","73.71"
"Apopka","8 Jun 2022","79.07","73.65","92.59","89.17","86.04","93.07","72.55","82","0","0","265.32","4.3","0.02","27.49","200","1012","96","74.4"
"Apopka","9 Jun 2022","82.12","75.97","89.15","88.73","86","91.83","74.49","79","0","0","255.63","6.92","0.18","23.85","247","1012","96","76.56"
"Apopka","10 Jun 2022","80.2","74.21","87.71","87.9","85.98","90.28","75.07","85","0.89","0.52","207.38","6.93","0.25","25.48","247","1010","96","76.45"
"Apopka","11 Jun 2022","78.49","73.24","89.82","85.99","82.62","90.45","72.77","83","0.01","0.01","268.32","5.79","0.13","23.42","217","1010","96","74.39"
"Apopka","12 Jun 2022","81.34","72.32","91.63","87.5","83.44","92.91","72.97","77","0","0","300.23","6.23","0.13","28.03","224","1013","96","75.31"
"Apopka","13 Jun 2022","83.26","75.6","91.11","90.12","86.05","95.31","74.3","76","0","0","330.77","4.46","0.09","15.73","253","1015","96","76.73"
"Apopka","14 Jun 2022","83.61","73.27","94.53","91.94","88.14","96.78","73.55","75","0.31","0.2","324.31","3.76","0.02","21.34","290","1015","96","76.31"
"Apopka","15 Jun 2022","83.52","75.78","94.44","90.8","87.31","95.16","74.03","76","0.07","0.04","300.43","3.56","0","14.83","245","1014","96","76.62"
"Apopka","16 Jun 2022","84.23","74.79","95.83","90.2","86.56","94.59","73.85","73","0","0","304.91","5.2","0.07","19.04","99","1015","96","76.68"
"Apopka","17 Jun 2022","83.67","74.28","92.73","91.16","87.4","95.45","72.43","71","0","0","285.42","4.73","0.02","15.26","83","1013","96","75.58"
"Apopka","18 Jun 2022","79.93","74.05","93.83","89.92","87.71","93.07","72.24","78","0.18","0.12","219","4.92","0.11","30.15","216","1010","96","74.43"
"Apopka","19 Jun 2022","79.92","74.75","90.14","86.63","84.15","89.44","72.12","77","0","0","192.46","4.67","0.18","29.5","212","1012","96","74.34"
"Apopka","20 Jun 2022","81.37","72.88","91.38","87.12","83.98","90.99","72.69","76","0","0","245.81","6.8","0.13","24.52","83","1017","96","75.13"
"Apopka","21 Jun 2022","79.67","70.11","89.83","88.35","84.67","92.75","66.54","68","0","0","318.13","5.73","0","21.43","65","1018","96","70.66"
"Apopka","22 Jun 2022","79.77","68.54","89.69","88.89","85.32","92.84","65.86","65","0","0","264.04","3.93","0.11","15.43","109","1014","96","70.27"
"Apopka","23 Jun 2022","81.95","72.54","95.07","89.77","85.73","95.02","69.7","67","0","0","306.89","5.31","0.02","44.92","220","1009","96","73.32"
